Apprentice's Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Apprentice's Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Crystal Gift,FALSE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Crystallized Essence (Expert),FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Crystallized Essence (Master),FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Cudgel of Obviation,TRUE,FALSE,TRUE,FALSE,0,0.3,0,0.6
Dark Heart (Expert),FALSE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Dark Heart (Master),FALSE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Dedicated Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Dedicated Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Exceptional Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Exceptional Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Expert's Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Expert's Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Grandmaster's Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Grandmaster's Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Greater Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Greater Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Honor of Pantrilla,TRUE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Innoruuk's Child,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Journeyman's Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Journeyman's Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Manastone,FALSE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Master's Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Master's Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Overflowing Vessel of Fyr'Un,TRUE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Remarkable Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Remarkable Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Shard of Essence (Expert),FALSE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Shard of Essence (Master),FALSE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Superb Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Superb Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Superior Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Superior Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
Translucent Wave of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Vessel of Fyr'Un,TRUE,FALSE,FALSE,FALSE,0.5,1,0,0.8
Workman's Essence of Health,FALSE,FALSE,FALSE,FALSE,0,0.5,0,1
Workman's Essence of Power,FALSE,FALSE,FALSE,FALSE,0,1,0,0.5
